x,y,potentiel
0.00368449,0.000398477,0.598362
0.00403022,0.000387045,0.365945
0.000937157,0.00069706,6.95713
0.000834397,0.000582738,5.81567
0.00090185,0.000420623,4.19177
0.000734853,0.000460008,4.59124
0.000670475,0.000597927,5.9723
0.000575945,0.000496794,4.96247
0.000622675,0.000353696,3.53132
0.000471963,0.000389791,3.8941
0.000428529,0.000532131,5.31774
0.000332272,0.000431953,4.31679
0.000374401,0.000283582,2.83338
0.0010435,0.000802163,8.00826
0.00126631,0.000177172,1.74747
0.00242213,0.00084764,6.46024
0.00169596,0.000164002,1.55795
0.000688406,0.000857895,8.57568
0.00105192,0.000183287,1.82014
0.00204815,0.000869212,8.40416
0.00250237,0.000888202,5.96727
0.00236744,0.000912844,7.77426
0.000328688,0.000859604,8.59488
0.0026498,0.00081347,4.37817
0.00611746,0.000613453,0.0732811
8.86139e-05,0.000154361,1.54277
0.000709542,0.000131279,1.30951
0.000768852,0.000286986,2.86205
0.000233621,0.000313687,3.13501
0.000133825,0.000698264,6.9811
0.000274236,0.000586955,5.86721
0.00141036,0.00090223,8.99944
0.00135687,0.000786419,7.82493
0.00041337,0.00069763,6.97349
0.000111303,0.000396411,3.96235
0.00119109,0.000779407,7.77063
0.00172715,0.000921869,9.16507
0.00172125,0.000791141,7.7852
0.000763902,0.000717121,7.16368
0.00040309,0.000137858,1.37716
0.00101726,0.000334414,3.32557
0.00135757,0.000336966,3.31604
0.00255502,0.000936416,5.63466
0.00197833,0.000937918,9.27305
0.00662455,0.000522534,0.0474403
0.00724539,0.000512427,0.0349699
0.00303272,0.000720175,2.30368
0.00152627,0.000910237,9.07205
0.00567111,0.000660166,0.108196
0.00217639,0.000939042,9.12589
0.0015785,0.000806548,7.99153
0.00491709,0.000725557,0.228215
0.00469049,0.000375647,0.163913
0.00431554,0.000784068,0.459469
0.00383524,0.000820714,0.850182
0.00181725,0.000928102,9.21431
0.00345421,0.000862796,1.4332
0.00313971,0.00087042,2.21073
0.00289528,0.000811762,3.02544
0.00290691,0.00091282,3.15285
0.00271526,0.000908868,4.22868
0.00204859,0.000950774,9.39372
0.00223575,0.00094216,9.05981
0.0024958,0.000953108,6.38142
0.00276726,0.00079936,3.6229
0.000506856,0.000254121,2.538
0.00209175,0.000502377,4.42426
0.0027954,0.000394481,1.88209
0.00194443,0.000860277,8.40202
0.00193629,0.000396165,3.62545
0.00370738,0.000657528,0.872004
0.00158942,0.000445012,4.32588
0.00226914,0.000900943,8.31121
0.00114474,0.000898402,8.974
0.00213486,0.000869513,8.27781
0.000593931,0.000720797,7.20356
0.001961,0.000546993,5.05696
0.00442478,0.000508237,0.29034
0.000194193,0.000200838,2.00714
0.00213697,0.000339274,2.87176
0.00320415,0.000755056,1.8697
0.00233769,0.000957188,8.89794
0.000158811,8.0121e-05,0.800717
0.000144534,0.000861732,8.61651
0.00185837,0.000870606,8.57128
0.00334187,0.00073521,1.52614
0.00257401,0.000867643,5.18128
0.0079436,0.000513202,0.0274818
0.0135002,0.0005,0.0129474
0.00506559,0.000432294,0.126845
0.000212838,0.000459777,4.59563
0.00391567,0.000611573,0.634555
0.000631115,0.00023059,2.30161
0.00147105,0.000825053,8.20294
0.0023138,0.000912872,8.25627
0.00282186,0.000672656,2.94037
0.00542011,0.000349881,0.0759901
0.000294791,0.000207093,2.06937
0.00238143,0.000962191,8.37516
0.00178661,0.000856136,8.44633
0.00150099,0.000346751,3.38353
0.00101323,0.000917455,9.16917
0.00852411,0.000590948,0.0273601
0.0122448,0.0005,0.013633
0.00586034,0.000312492,0.0463483
0.0041733,0.000597581,0.448196
0.000917086,0.000268645,2.67469
7.66142e-05,7.49444e-05,0.749024
0.00429614,0.000254998,0.179032
0.00164625,0.000303007,2.91188
